date,slv_position,gld_position,slv_close,gld_close,mkt_val,cash,NAV
2025-06-02,0,0,31.59,311.67,0.0,1000000.0,1000000.0
2025-06-03,0,0,31.44,308.91,0.0,1000000.0,1000000.0
2025-06-04,0,0,31.34,310.9,0.0,1000000.0,1000000.0
2025-06-05,0,0,32.45,309.33,0.0,1000000.0,1000000.0
2025-06-06,-7103,214,32.69,305.18,-166888.55,1167685.5,1000796.95
2025-06-09,-7103,214,33.39,306.62,-171552.49,1167685.5,996133.01
2025-06-10,0,0,33.23,306.71,0.0,997060.77,997060.77
2025-06-11,-7090,213,32.95,308.37,-167932.69000000003,1164957.55,997024.86
2025-06-12,-7090,213,33.06,312.2,-167896.80000000005,1164957.55,997060.75
2025-06-13,-7090,213,32.97,316.29,-166387.52999999997,1164957.55,998570.02
2025-06-16,-7090,213,33.03,311.78,-167773.56,1164957.55,997183.99
2025-06-17,-7090,213,33.74,311.94,-172773.38,1164957.55,992184.17
2025-06-18,0,0,33.27,310.26,0.0,992457.42,992457.42
2025-06-20,-7072,213,32.72,310.13,-165338.15,1158390.29,993052.14
2025-06-23,-7072,213,32.96,311.08,-166833.08000000002,1158390.29,991557.21
2025-06-24,-7072,213,32.61,306.19,-165399.44999999998,1158390.29,992990.8400000001
2025-06-25,-7072,213,33.01,307.12,-168030.15999999997,1158390.29,990360.1300000001
2025-06-26,-7072,213,33.34,306.78,-170436.34000000003,1158390.29,987953.95
2025-06-27,0,0,32.62,301.22,0.0,992032.36,992032.36
2025-06-30,-7114,214,32.81,304.83,-168176.72000000003,1160095.26,991918.54
2025-07-01,-7114,214,32.73,307.55,-167025.51999999996,1160095.26,993069.74
2025-07-02,-7114,214,33.24,309.25,-170289.86000000002,1160095.26,989805.4
2025-07-03,0,0,33.51,307.14,0.0,988118.8,988118.8
2025-07-07,-7015,211,33.43,307.37,-169656.38,1155667.04,986010.66
2025-07-08,0,0,33.29,304.16,0.0,986486.3900000001,986486.3900000001
2025-07-09,-7006,211,33.0,305.52,-166733.28,1154259.5500000003,987526.2700000003
2025-07-10,-7006,211,33.75,306.2,-171844.3,1154259.5500000003,982415.2500000002
2025-07-11,0,0,35.03,309.14,0.0,979963.9300000003,979963.9300000003
2025-07-14,-6601,198,34.63,308.01,-167606.65000000002,1151255.2900000003,983648.6400000002
2025-07-15,0,0,34.26,306.73,0.0,983197.1400000004,983197.1400000004
2025-07-16,-6758,203,34.41,308.26,-169965.99999999997,1153259.4000000004,983293.4000000004
2025-07-17,0,0,34.65,307.59,0.0,983544.0800000003,983544.0800000003
2025-07-18,-6689,201,34.61,308.39,-169519.90000000002,1154091.1200000003,984571.2200000003
2025-07-21,0,0,35.35,313.13,0.0,981928.2100000003,981928.2100000003
2025-07-22,-6542,197,35.72,316.1,-171408.53999999998,1152529.9600000002,981121.4200000002
2025-07-23,0,0,35.69,312.18,0.0,980446.0400000003,980446.0400000003
2025-07-24,-6583,198,35.49,310.27,-172197.21000000002,1151981.5000000002,979784.2900000003
2025-07-25,0,0,34.66,307.4,0.0,980681.6200000002,980681.6200000002
2025-07-28,-6704,201,34.64,305.41,-170839.15,1151370.7300000002,980531.5800000002
2025-07-29,0,0,34.66,306.25,0.0,980613.9900000002,980613.9900000002
2025-07-30,-6795,204,33.51,300.96,-166304.61,1150357.7100000002,984053.1000000002
2025-07-31,0,0,33.32,302.96,0.0,986220.5700000002,986220.5700000002
2025-08-01,-6871,207,33.59,309.11,-166811.12,1154299.12,987488.0000000001
2025-08-04,0,0,33.98,310.91,0.0,985501.6900000002,985501.6900000002
2025-08-05,-6818,205,34.35,311.16,-170410.5,1153756.0200000003,983345.5200000003
2025-08-06,0,0,34.35,310.5,0.0,982890.3500000003,982890.3500000003
2025-08-07,-6664,200,34.76,313.12,-169016.63999999998,1152778.7500000005,983762.1100000005
2025-08-08,0,0,34.88,313.05,0.0,983474.8300000004,983474.8300000004
2025-08-11,-6760,203,34.18,308.55,-168421.15,1152963.3700000006,984542.2200000006
2025-08-12,0,0,34.41,308.27,0.0,984069.6300000006,984069.6300000006
2025-08-13,-6681,201,35.0,309.21,-171683.79,1154909.0100000005,983225.2200000004
2025-08-14,0,0,34.5,307.25,0.0,985306.2900000005,985306.2900000005
2025-08-15,-6779,204,34.5,307.43,-171159.78,1155399.7900000005,984240.0100000005
2025-08-18,0,0,34.55,306.95,0.0,983228.8100000005,983228.8100000005
2025-08-19,-6747,203,33.87,305.27,-166551.08,1153525.6200000006,986974.5400000006
2025-08-20,0,0,34.43,308.36,0.0,985141.3700000006,985141.3700000006
2025-08-21,-6754,203,34.61,307.29,-171376.07,1155523.7100000004,984147.6400000004
2025-08-22,0,0,35.34,310.58,0.0,984992.2500000005,984992.2500000005
2025-08-25,-6655,200,35.02,309.83,-171092.10000000003,1156449.1000000006,985357.0000000005
2025-08-26,0,0,35.02,312.08,0.0,986313.6000000006,986313.6000000006
2025-08-27,-6707,202,34.99,312.71,-171510.51,1156346.9300000006,984836.4200000006
2025-08-28,0,0,35.52,315.03,0.0,982142.7000000007,982142.7000000007
2025-08-29,-6572,198,36.19,318.07,-174862.82,1152148.3400000008,977285.5200000007
2025-09-02,0,0,37.15,325.59,0.0,974962.1000000008,974962.1000000008
2025-09-03,-6199,186,37.34,328.14,-170436.62000000002,1145221.4400000009,974784.8200000009
2025-09-04,0,0,36.93,326.69,0.0,975446.2200000009,975446.2200000009
